player_name,pitch_type,swings,avg_dev_bat_speed_z,avg_dev_attack_angle_z,avg_dev_swing_path_tilt_z,avg_dev_attack_direction_z
"Ferrer, José A.",SI,340,0.084,0.015,0.077,0.047
"Brown, Ben",FF,415,0.084,-0.033,-0.042,0.001
"McGreevy, Michael",FF,158,0.083,-0.026,-0.177,0.002
"Imanaga, Shota",ST,148,0.082,-0.017,0.059,0.171
"Whitlock, Garrett",SI,277,0.082,-0.159,0.038,0.048
"Holmes, Clay",CH,202,0.082,0.118,-0.025,-0.091
"Bummer, Aaron",SI,104,0.081,0.187,0.002,0.148
"Paddack, Chris",FC,144,0.081,-0.115,-0.075,-0.038
"Cameron, Noah",FF,229,0.08,0.031,0.062,0.025
"Kittredge, Andrew",SL,247,0.08,-0.107,-0.065,-0.22
"Crochet, Garrett",FF,555,0.079,-0.037,-0.031,0.06
"Speier, Gabe",FF,253,0.079,0.066,-0.048,0.059
"Newcomb, Sean",FF,218,0.078,-0.07,0.071,-0.011
"Brown, Hunter",SI,311,0.078,-0.053,0.183,0.105
"Zerpa, Angel",SL,143,0.078,0.1,0.06,0.058
"Gray, Sonny",FC,134,0.077,0.134,-0.271,-0.018
"Fitts, Richard",FF,133,0.075,-0.021,0.07,0.036
"Skubal, Tarik",CH,506,0.075,-0.094,-0.011,0.087
"Giolito, Lucas",FF,495,0.075,0.131,0.15,0.081
"Lucchesi, Joey",SI,119,0.074,0.253,0.025,0.154
"Gilbert, Tyler",ST,100,0.074,-0.016,0.001,-0.063
"Erceg, Lucas",SI,111,0.073,-0.0,0.043,-0.063
"Chandler, Bubba",FF,128,0.073,-0.186,0.048,-0.089
"Santillan, Tony",FF,422,0.072,0.012,-0.089,0.031
"Rogers, Tyler",SI,360,0.071,0.482,0.029,0.194
"Scott, Tanner",SL,202,0.071,0.105,0.09,0.14
"Gaddis, Hunter",FF,194,0.071,0.182,0.256,0.142
"Gallen, Zac",CH,215,0.07,0.009,-0.013,-0.154
"Bido, Osvaldo",SL,173,0.07,-0.005,0.037,0.036
"Chivilli, Angel",CH,173,0.07,0.234,0.059,0.28
"Suarez, Ranger",CH,236,0.069,-0.011,-0.071,0.148
