player_name,pitch_type,swings,avg_physics,avg_xwoba,whiff_rate,avg_launch_speed,avg_chase_deviation,outside_zone_pitches,raw_chase_rate,physics_z,chase_z,discomfort_score
"Bivens, Spencer",FC,142,-0.4494,0.2923,0.1479,82.6465,-0.0102,142,0.2535,-0.6692,-0.345,-0.025
"Bivens, Spencer",SI,188,0.8574,0.3221,0.0691,81.8822,-0.0148,172,0.25,1.2899,-0.427,0.0179
"Blalock, Bradley",FF,220,-0.035,0.4246,0.0818,86.3703,0.028,204,0.2598,-0.048,0.3296,0.008
"Blanco, Ronel",FF,108,-0.2189,0.2812,0.1481,83.5906,-0.0344,154,0.2013,-0.3236,-0.7738,-0.0289
"Blanco, Ronel",SL,141,-0.9438,0.2164,0.4043,75.7141,0.0692,123,0.3984,-1.4104,1.0565,-0.0033
"Blewett, Scott",FF,103,0.0706,0.3795,0.165,85.6247,-0.0626,115,0.1652,0.1104,-1.2711,-0.0326
"Blewett, Scott",SL,154,0.0687,0.2746,0.3442,84.0217,0.0018,150,0.32,0.1076,-0.1343,-0.0012
"Blubaugh, AJ",FF,118,-0.7859,0.3484,0.2542,84.5662,0.002,114,0.2544,-1.1738,-0.13,-0.0307
"Booser, Cam",FF,134,-0.3665,0.2891,0.1567,85.7495,0.0176,120,0.25,-0.5449,0.1461,-0.0085
"Borucki, Ryan",SL,108,1.6834,0.2998,0.3426,80.2159,0.0067,109,0.3119,2.5283,-0.0464,0.057
"Bowlan, Jonathan",FF,118,1.1682,0.3183,0.4068,82.2492,0.0989,120,0.35,1.756,1.5808,0.0842
"Bowlan, Jonathan",SL,102,0.3214,0.2361,0.3922,82.5448,0.0303,128,0.3672,0.4865,0.3698,0.0215
"Boyd, Matthew",CH,333,0.5401,0.2307,0.3033,81.1287,0.0177,294,0.3571,0.8143,0.1477,0.0229
"Boyd, Matthew",FF,725,-0.5259,0.3149,0.1255,83.2657,0.0348,533,0.2683,-0.7839,0.4496,-0.0056
"Boyd, Matthew",SL,178,0.1126,0.2139,0.3427,77.0308,0.0176,235,0.3277,0.1733,0.1461,0.008
"Boyle, Joe",FF,192,-0.5699,0.2993,0.2292,86.0101,-0.0648,214,0.1589,-0.8499,-1.3099,-0.0558
"Boyle, Joe",SL,147,-0.0314,0.246,0.3197,82.6568,0.0002,135,0.3111,-0.0426,-0.1618,-0.0055
"Bradley, Taj",FC,211,0.2086,0.3309,0.2986,83.7684,0.0031,235,0.2809,0.3173,-0.1105,0.0043
"Bradley, Taj",FF,420,0.0525,0.3172,0.1643,84.8433,0.0281,360,0.2528,0.0833,0.3315,0.0111
"Bradley, Taj",FS,109,-0.1708,0.2586,0.2018,81.7776,-0.1165,118,0.2203,-0.2516,-2.2225,-0.0673
"Brash, Matt",SL,245,0.0805,0.2202,0.3347,79.9167,0.0275,334,0.3593,0.1252,0.3209,0.0118
"Brazobán, Huascar",CH,178,0.6484,0.2367,0.3202,82.538,0.0199,216,0.3519,0.9766,0.1859,0.0277
"Brazobán, Huascar",SI,167,0.7506,0.3024,0.1257,82.809,0.1104,163,0.362,1.1299,1.7844,0.0754
"Brebbia, John",FF,100,-1.0255,0.318,0.13,83.3148,0.0138,83,0.241,-1.5329,0.079,-0.0332
"Brogdon, Connor",CH,170,0.746,0.2764,0.3118,82.517,0.0613,183,0.3989,1.1229,0.9179,0.0513
"Brogdon, Connor",FF,153,0.3521,0.2642,0.2549,81.6037,-0.013,158,0.2278,0.5324,-0.395,0.0013
"Brown, Ben",FF,415,0.4369,0.3761,0.1325,86.3921,-0.0132,389,0.2185,0.6596,-0.3984,0.0042
"Brown, Hunter",CH,152,0.3781,0.2637,0.2303,78.9886,-0.0223,207,0.3043,0.5714,-0.559,-0.0023
"Brown, Hunter",FF,449,0.2879,0.2282,0.265,84.2983,-0.0095,535,0.2224,0.4362,-0.3325,0.0009
"Brown, Hunter",SI,311,0.4514,0.2738,0.1672,75.8979,0.1192,323,0.3901,0.6813,1.94,0.0694
"Brown, Hunter",SL,115,-0.5792,0.2952,0.2348,83.6375,-0.0432,142,0.2887,-0.8638,-0.9276,-0.0456
"Brown, McCade",FF,129,0.1758,0.3801,0.1783,86.6444,0.0171,129,0.2636,0.2682,0.1368,0.01
"Brzykcy, Zach",FF,130,-0.3045,0.3229,0.1692,83.846,0.0886,125,0.312,-0.452,1.3997,0.0283
