batter,batter_name,pitch_type,pitches_seen,swings,avg_bat_speed,avg_swing_length,avg_attack_angle,avg_attack_direction,avg_swing_path_tilt,whiff_rate,called_strike_rate,hard_hit_rate,contact_swings,avg_launch_speed,avg_launch_angle,avg_xwoba,outside_zone_pitches,chases,batter_chase_rate
572191,"Cantillo, Joey",FF,399,215,66.892,6.119,7.305,15.285,31.648,0.163,0.12,0.09,135,84.035,32.222,0.317,156,35,0.224
572191,"Cantillo, Joey",SI,188,92,69.805,6.399,5.69,10.635,34.666,0.096,0.202,0.085,62,85.058,11.968,0.29,76,21,0.276
572191,"Cantillo, Joey",SL,171,83,68.428,7.401,16.824,-11.286,32.599,0.216,0.216,0.058,43,80.419,6.0,0.214,79,27,0.342
572191,"Cantillo, Joey",ST,106,46,64.193,7.366,17.145,-21.336,33.064,0.255,0.142,0.047,19,72.326,23.579,0.263,69,24,0.348
572233,"Hendricks, Kyle",CH,192,107,72.777,8.051,15.673,-17.522,30.893,0.193,0.083,0.115,63,86.578,11.734,0.233,104,36,0.346
572233,"Hendricks, Kyle",CU,180,83,66.503,7.903,16.677,-20.478,28.337,0.233,0.117,0.056,37,82.059,9.757,0.165,106,29,0.274
572233,"Hendricks, Kyle",FC,207,100,72.472,7.505,9.108,-4.627,29.083,0.068,0.126,0.097,84,81.204,22.131,0.324,108,28,0.259
572233,"Hendricks, Kyle",FF,841,473,72.446,6.969,4.023,7.344,27.657,0.145,0.12,0.076,315,83.642,36.092,0.323,349,81,0.232
572233,"Hendricks, Kyle",SI,425,228,74.07,7.154,4.5,2.673,32.379,0.071,0.16,0.155,181,85.514,8.768,0.385,173,49,0.283
572233,"Hendricks, Kyle",SL,380,186,70.089,7.874,12.98,-12.155,28.842,0.195,0.105,0.074,102,82.234,11.951,0.327,226,70,0.31
572233,"Hendricks, Kyle",ST,184,87,68.023,7.83,15.058,-14.999,28.272,0.207,0.103,0.065,44,82.698,22.114,0.314,116,37,0.319
